hz,resistivity,phase
0.010185914,150.7704369,-0.02372
0.018046791,148.6303711,-0.03503
0.032389183,144.5065823,-0.05298
0.057147864,139.6648045,-0.07558
0.100855596,135.5748373,-0.11013
0.183950088,127.2928627,-0.15796
0.319006844,117.2635381,-0.21375
0.55284069,104.3449226,-0.2669
1.024000102,91.31336006,-0.30078
1.803432949,81.01692444,-0.29417
3.178337412,74.49954928,-0.2497
5.579560615,70.84611515,-0.1893
10.05541502,68.85487458,-0.13421
17.75006714,67.58903165,-0.09173
31.74680322,66.67955805,-0.06187
55.4115119,66.00921489,-0.04197
100.6468066,65.59656799,-0.02872
178.0327909,65.27074304,-0.02011
310.742031,65.10882941,-0.01482
557.1857489,65.02796202,-0.01152
998.6194028,64.86724917,-0.00955
1766.851298,64.70732875,-0.00891
3125.359644,64.62787271,-0.00827
5602.733948,64.54819491,-0.01028
9912.883449,64.54819491,-0.01428
