middlePos	receiverPos	error 높이
[ 5.  5.]	[ 5.  5.]	50.0
[ 5.  5.]	[ 5.  5.]	50.0
[  5.  15.]	[ 5.  5.]	100.0
[  5.  15.]	[ 5.  5.]	100.0
[ 15.   5.]	[ 5.  5.]	100.0
[ 15.   5.]	[ 5.  5.]	100.0
[ 5.  5.]	[  5.  25.]	150.0
[ 5.  5.]	[  5.  25.]	150.0
[ 5.  5.]	[ 25.   5.]	150.0
[  5.  25.]	[ 5.  5.]	150.0
[  5.  25.]	[ 5.  5.]	150.0
[ 15.  15.]	[ 5.  5.]	150.0
[ 15.  15.]	[ 5.  5.]	150.0
[ 25.   5.]	[ 5.  5.]	150.0
[ 25.   5.]	[ 5.  5.]	150.0
[  5.  15.]	[ 25.   5.]	200.0
[  5.  35.]	[ 5.  5.]	200.0
[  5.  35.]	[ 5.  5.]	200.0
[ 15.   5.]	[  5.  25.]	200.0
[ 15.   5.]	[  5.  25.]	200.0
[ 15.  25.]	[ 5.  5.]	200.0
[ 15.  25.]	[ 5.  5.]	200.0
[ 25.  15.]	[ 5.  5.]	200.0
[ 25.  15.]	[ 5.  5.]	200.0
[ 35.   5.]	[ 5.  5.]	200.0
[ 35.   5.]	[ 5.  5.]	200.0
[ 5.  5.]	[ 25.  25.]	250.0
[  5.  25.]	[ 25.   5.]	250.0
[  5.  45.]	[ 5.  5.]	250.0
[  5.  45.]	[ 5.  5.]	250.0
[ 15.  35.]	[ 5.  5.]	250.0
[ 15.  35.]	[ 5.  5.]	250.0
[ 25.   5.]	[  5.  25.]	250.0
[ 25.   5.]	[  5.  25.]	250.0
[ 25.  25.]	[ 5.  5.]	250.0
[ 25.  25.]	[ 5.  5.]	250.0
[ 35.  15.]	[ 5.  5.]	250.0
[ 35.  15.]	[ 5.  5.]	250.0
[ 45.   5.]	[ 5.  5.]	250.0
[ 45.   5.]	[ 5.  5.]	250.0
[  5.  35.]	[ 25.   5.]	300.0
[  5.  55.]	[ 5.  5.]	300.0
[  5.  55.]	[ 5.  5.]	300.0
[ 15.  45.]	[ 5.  5.]	300.0
[ 15.  45.]	[ 5.  5.]	300.0
[ 25.  35.]	[ 5.  5.]	300.0
[ 25.  35.]	[ 5.  5.]	300.0
[ 35.   5.]	[  5.  25.]	300.0
[ 35.   5.]	[  5.  25.]	300.0
[ 35.  25.]	[ 5.  5.]	300.0
[ 35.  25.]	[ 5.  5.]	300.0
[ 45.  15.]	[ 5.  5.]	300.0
[ 45.  15.]	[ 5.  5.]	300.0
[ 55.   5.]	[ 5.  5.]	300.0
[ 55.   5.]	[ 5.  5.]	300.0
[  5.  45.]	[ 25.   5.]	350.0
[  5.  65.]	[ 5.  5.]	350.0
[  5.  65.]	[ 5.  5.]	350.0
[ 15.  55.]	[ 5.  5.]	350.0
[ 15.  55.]	[ 5.  5.]	350.0
[ 25.  45.]	[ 5.  5.]	350.0
[ 25.  45.]	[ 5.  5.]	350.0
[ 35.  35.]	[ 5.  5.]	350.0
[ 35.  35.]	[ 5.  5.]	350.0
[ 45.   5.]	[  5.  25.]	350.0
[ 45.   5.]	[  5.  25.]	350.0
[ 45.  25.]	[ 5.  5.]	350.0
[ 45.  25.]	[ 5.  5.]	350.0
[ 55.  15.]	[ 5.  5.]	350.0
[ 55.  15.]	[ 5.  5.]	350.0
[ 65.   5.]	[ 5.  5.]	350.0
[ 65.   5.]	[ 5.  5.]	350.0
[  5.  15.]	[  5.  25.]	400.0
[  5.  15.]	[  5.  25.]	400.0
[  5.  55.]	[ 25.   5.]	400.0
[  5.  75.]	[ 5.  5.]	400.0
[  5.  75.]	[ 5.  5.]	400.0
[ 15.   5.]	[ 25.   5.]	400.0
[ 15.  65.]	[ 5.  5.]	400.0
[ 15.  65.]	[ 5.  5.]	400.0
[ 25.  55.]	[ 5.  5.]	400.0
[ 25.  55.]	[ 5.  5.]	400.0
[ 35.  45.]	[ 5.  5.]	400.0
[ 35.  45.]	[ 5.  5.]	400.0
[ 45.  35.]	[ 5.  5.]	400.0
[ 45.  35.]	[ 5.  5.]	400.0
[ 55.   5.]	[  5.  25.]	400.0
